occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Turdoides affinis","Turdoides affinis (Jerdon, 1845)","2493324","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Leiothrichidae","Turdoides","Turdoides affinis","Turdoides affinis","(Jerdon, 1845) ","2493324",
,"Aegithalos caudatus","Aegithalos caudatus (Linnaeus, 1758)","2495000","EXACT","99","DOUBTFUL","SPECIES","Animalia","Chordata","Aves","Passeriformes","Aegithalidae","Aegithalos","Aegithalos caudatus","Aegithalos caudatus","(Linnaeus, 1758) ","2495000",
,"Carduelis citrinella","Carduelis citrinella (Pallas, 1764)","2494632","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Carduelis","Carduelis citrinella","Carduelis citrinella","(Pallas, 1764) ","2494632",
,"Carduelis spinus","Carduelis spinus (Linnaeus, 1758)","2494701","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Spinus","Spinus spinus","Carduelis spinus","(Linnaeus, 1758) ","2494701","6092830"
,"Certhia brachydactyla","Certhia brachydactyla C.L.Brehm, 1820","7806848","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Certhiidae","Certhia","Certhia brachydactyla","Certhia brachydactyla","C.L.Brehm, 1820","7806848",
,"Dendrocopos major","Dendrocopos major (Linnaeus, 1758)","2477968","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Piciformes","Picidae","Dendrocopos","Dendrocopos major","Dendrocopos major","(Linnaeus, 1758) ","2477968",
,"Erithacus rubecula","Erithacus rubecula (Linnaeus, 1758)","2492462","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Erithacus","Erithacus rubecula","Erithacus rubecula","(Linnaeus, 1758) ","2492462",
,"Ficedula hypoleuca","Ficedula hypoleuca (Pallas, 1764)","2492606","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Muscicapidae","Ficedula","Ficedula hypoleuca","Ficedula hypoleuca","(Pallas, 1764) ","2492606",
,"Fringilla coelebs","Fringilla coelebs Linnaeus, 1758","2494422","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Fringilla","Fringilla coelebs","Fringilla coelebs","Linnaeus, 1758","2494422",
,"Loxia curvirostra","Loxia curvirostra Linnaeus, 1758","9629160","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia curvirostra","Loxia curvirostra","Linnaeus, 1758","9629160",
