Terpsiphone paradisi
Hypothymis azurea
Aegithina viridissima
Muscicapa dauurica
Phylloscopus borealis
Macronous gularis
Stachyris erythroptera
Malacocincla abbotti
Prinia rufescens
Hemipus picatus
Ficedula nigrorufa
Hypsipetes leucocephalus
Parus xanthogenys
Acrocephalus dumetorum
Alcippe poioicephala
Nectarinia minima
Turdus merula
Dinopium javanense
Gallus sonneratii
Strophocincla cachinnans
Culicicapa ceylonensis
Pomatorhinus horsfieldii
Lanius schach
Eumyias albicaudatus
Columba elphinstonii
Zosterops palpebrosus
Dicaeum concolor
Pycnonotus jocosus
Pericrocotus flammeus
Phylloscopus magnirostris
Phylloscopus affinis
Sitta frontalis
Myiomela major
Megalaima viridis
Iole indica
Acanthiza lineata
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthorhynchus tenuirostris
Anthochaera carunculata
Colluricincla harmonica
Cormobates leucophaea
Gymnorhina tibicen
Daphoenositta chrysoptera
Dicaeum hirundinaceum
Entomyzon cyanotis
Eopsaltria australis
Lichenostomus fuscus
Lichenostomus chrysops
Lichenostomus leucotis
Lichenostomus melanops
Lichenostomus penicillatus
Lichmera indistincta
Manorina melanocephala
Meliphaga lewinii
Melithreptus albogularis
Melithreptus brevirostris
Melithreptus lunatus
Myiagra rubecula
Myzomela obscura
Myzomela sanguinolenta
Neochmia temporalis
Pachycephala pectoralis
Pachycephala rufiventris
Pardalotus punctatus
Pardalotus striatus
Petroica goodenovii
Philemon citreogularis
Philemon corniculatus
Phylidonyris novaehollandiae
Rhipidura fuliginosa
Sericornis frontalis
Smicrornis brevirostris
Strepera graculina
Zosterops lateralis
Acanthiza chrysorrhoa
Acanthiza lineata
Acanthiza pusilla
Acanthiza reguloides
Acanthorhynchus tenuirostris
Anthochaera carunculata
Artamus cyanopterus
Artamus superciliosus
Cormobates leucophaea
Climacteris picumnus
Colluricincla harmonica
Coracina novaehollandiae
Corcorax melanorhamphos
Daphoenositta chrysoptera
Dicaeum hirundinaceum
Stagonopleura guttata
Eopsaltria australis
Falcunculus frontatus
Gerygone olivacea
Gymnorhina tibicen
Lichenostomus fuscus
Malurus cyaneus
Melithreptus brevirostris
Melithreptus lunatus
Myiagra inquieta
Myzomela sanguinolenta
Pachycephala pectoralis
Pachycephala rufiventris
Pardalotus punctatus
Pardalotus striatus
Petroica multicolor
Philemon corniculatus
Rhipidura fuliginosa
Rhipidura leucophrys
Chthonicola sagittatus
Zosterops lateralis
Acanthiza chrysorrhoa
Acanthiza lineata
Acanthiza pusilla
Acanthiza reguloides
Acanthorhynchus tenuirostris
Anthochaera carunculata
Artamus cyanopterus
Climacteris erythrops
Cormobates leucophaea
Colluricincla harmonica
Coracina novaehollandiae
Corcorax melanorhamphos
Eopsaltria australis
Falcunculus frontatus
Gymnorhina tibicen
Malurus cyaneus
Lichenostomus chrysops
Lichenostomus leucotis
Melithreptus brevirostris
Melithreptus lunatus
Menura novaehollandiae
Monarcha melanopsis
Myiagra cyanoleuca
Daphoenositta chrysoptera
Pachycephala pectoralis
Pachycephala rufiventris
Pardalotus punctatus
Pardalotus striatus
Petroica multicolor
Petroica phoenicea
Petroica rosea
Phylidonyris pyrrhopterus
Psophodes olivaceus
