Sp_eBird,Sp_BirdLife,Study,Flycatching,Gleaning,Hovering,Pouncing,Probing,Snatching,Air,Bark,Flower,Ground,Leaf,Other,N_BEH,N_SUB,continent,location,zdroj_dat,Order
Ptiloris victoriae,Ptiloris victoriae,Crome1978,0,32.25,0,0,10.75,0,0,20.64,0,0,5.16,17.2,43,43,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Myiagra ruficollis,Myiagra ruficollis,Crome1978,3,45,0.75,26.25,0,0,3,0,0,0,71.25,0.75,75,75,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Microptilotis gracilis,Meliphaga gracilis,Crome1978,0,201.6,0,0,0,8.4,0,4.2,37.8,0,105,63,210,210,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Myzomela obscura,Myzomela obscura,Crome1978,0,122.84,25.16,0,0,0,0,1.48,38.48,0,103.6,4.44,148,148,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Orthonyx spaldingii,Orthonyx spaldingii,Crome1978,0,64,0,0,0,0,0,0,0,57.6,1.28,5.12,64,64,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Pachycephala simplex,Pachycephala simplex,Crome1978,1.33,118.37,3.99,9.31,0,0,1.33,11.97,1.33,0,114.38,3.99,133,133,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Pitta versicolor,Pitta versicolor,Crome1978,0,63,0,0,0,0,0,0,0,63,0,0,63,63,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,Crome1978,17.82,59.94,0,0,0,3.24,17.82,3.24,0,0,59.94,0,81,81,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura rufifrons,Rhipidura rufifrons,Crome1978,7.76,178.48,7.76,0,0,0,7.76,9.7,0,31.04,137.74,7.76,194,194,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Sericornis magnirostra,Sericornis magnirostra,Crome1978,0,151,0,0,0,0,0,34.73,0,1.51,83.05,31.71,151,151,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Sphecotheres vieilloti,Sphecotheres vieilloti,Crome1978,0,480,0,0,0,0,0,0,0,0,33.6,446.4,480,480,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Symposiachrus trivirgatus,Monarcha trivirgatus,Crome1978,4.08,195.84,0,4.08,0,0,4.08,20.4,0,0,171.36,8.16,204,204,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Tregellasia capito,Tregellasia capito,Crome1978,2.67,30.26,0,56.07,0,0,2.67,6.23,0,10.68,68.53,0.89,89,89,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Xanthotis macleayanus,Xanthotis macleayanus,Crome1978,2.25,57.75,0,0,15,0,2.25,6,12,0,21.75,33,75,75,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Zosterops lateralis,Zosterops lateralis,Crome1978,0,47,0,0,0,0,0,0,0,0,41.36,5.64,47,47,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Ptilinopus magnificus,Ptilinopus magnificus,Frith1984,0,17,0,0,0,0,0,0,0,0,0,17,17,17,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Macropygia amboinensis,Macropygia amboinensis,Frith1984,0,10,0,0,0,0,0,0,0,1,0,9,10,10,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Platycercus elegans,Platycercus elegans,Frith1984,0,28,0,0,0,0,0,0,0,0,0,28,28,28,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Coracina lineata,Coracina lineata,Frith1984,0,10,0,0,0,0,0,0,0,0,0,10,10,10,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Meliphaga lewinii,Meliphaga lewinii,Frith1984,0,10,0,0,0,0,0,0,4,0,6,0,10,10,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Bolemoreus frenatus,Lichenostomus frenatus,Frith1984,1.016,121.92,1.016,3.048,0,0,2.032,2.032,50.927,2.032,62.992,6.985,127,127,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Frith1984,1,9,0,0,0,0,1,0,4,0,4,1,10,10,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Neochmia temporalis,Neochmia temporalis,Frith1984,0,28.017,0,4.983,36.01,0,0,0,0,0,0,33,69.01,33,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Ptiloris victoriae,Ptiloris victoriae,Frith1984,0,28.99,0,0,0,0,0,36.01,2.015,0.975,5.005,20.995,28.99,65,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Tregellasia capito,Tregellasia capito,Frith1984,7.035,12.985,1.995,12.985,0,0,7,9.03,0,3.01,15.96,0,35,35,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Pachycephala pectoralis,Pachycephala pectoralis,Frith1984,6.03,52.997,0,7.973,0,0,3.015,9.045,0,0,53.935,1.005,67,67,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Colluricincla boweri,Colluricincla boweri,Frith1984,0,81.005,0,3.995,0,0,0,8.075,0,2.04,74.885,0,85,85,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura rufifrons,Rhipidura rufifrons,Frith1984,12.975,58.05,0,3.975,0,0,12.975,6,0,3.975,52.05,0,75,75,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,Frith1984,366.553,136.488,1.034,12.925,0,0,387.75,9.2026,2.068,4.9632,113.0162,0,517,517,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Sericornis magnirostra,Sericornis magnirostra,Frith1984,0,198.85,2.05,4.1,0,0,1.025,35.26,0,4.1,164.615,0,205,205,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Gerygone mouki,Gerygone mouki,Frith1984,1.06,181.048,8.48,26.924,0,0,0,3.816,0,0,204.156,4.028,217.512,212,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Climacteris picumnus,Climacteris picumnus,Frith1984,0,20.01,0,0,0,37.99,0,58,0,0,0,0,58,58,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Alectura lathami,Alectura lathami,Frith1984,0,13,0,0,0,0,0,0,0,10.998,0,2.002,13,13,Australia,Northern Queensland,Ulicny,NONPASSERIFORMES
Heteromyias albispecularis,Heteromyias albispecularis,Frith1984,0,1.98,0,53.02,0,0,0,1.98,0,53.02,0,0,55,55,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Orthonyx spaldingii,Orthonyx spaldingii,Frith1984,0,200,0,0,0,0,0,0,0,200,0,0,200,200,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Psophodes olivaceus,Psophodes olivaceus,Frith1984,0,51,0,0,0,0,0,4.998,0,40.035,5.967,0,51,51,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Oreoscopus gutturalis,Oreoscopus gutturalis,Frith1984,0,11,0,0,0,0,0,1.21,0,9.79,0,0,11,11,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Sericornis citreogularis,Sericornis citreogularis,Frith1984,0.972,484.056,0,0.972,,0,0.972,20.898,0,451.98,12.15,0,486,486,Australia,Northern Queensland,Ulicny,PASSERIFORMES
Junco hyemalis,Junco hyemalis,Holmes1979,28.875,223.875,89.625,,32.25,,28.875,21.75,,145.125,178.875,,375,375,North_America,New Hampshire,Ulicny,PASSERIFORMES
Catharus guttatus,Catharus guttatus,Holmes1979,18.054,70.977,36.993,,51.153,,18.054,21.063,,86.022,52.038,,177,177,North_America,New Hampshire,Ulicny,PASSERIFORMES
Catharus ustulatus,Catharus ustulatus,Holmes1979,14.104,134.16,115.928,,79.808,,14.104,30.96,,181.976,116.96,,344,344,North_America,New Hampshire,Ulicny,PASSERIFORMES
Troglodytes troglodytes,Troglodytes troglodytes,Holmes1979,16.038,134.622,18.954,,73.143,,16.038,116.397,,47.142,63.18,,243,243,North_America,New Hampshire,Ulicny,PASSERIFORMES
Seiurus aurocapilla,Seiurus aurocapilla,Holmes1979,6.06,241.996,68.68,,87.264,,6.06,24.644,,257.348,115.948,,404,404,North_America,New Hampshire,Ulicny,PASSERIFORMES
Catharus fuscescens,Catharus fuscescens,Holmes1979,0,57.876,36.994,,10.918,,0,7.844,,56.922,41.022,,106,106,North_America,New Hampshire,Ulicny,PASSERIFORMES
Hylocichla mustelina,Hylocichla mustelina,Holmes1979,3.088,31.073,11.001,,147.838,,3.088,12.931,,159.997,16.984,,193,193,North_America,New Hampshire,Ulicny,PASSERIFORMES
Dryobates villosus,Picoides villosus,Holmes1979,0,3.993,0,,117.007,,0,121,,0,0,,121,121,North_America,New Hampshire,Ulicny,NONPASSERIFORMES
Sphyrapicus varius,Sphyrapicus varius,Holmes1979,15.041,65.065,9.971,,79.092,,15.041,143.143,,0,10.985,,169,169,North_America,New Hampshire,Ulicny,NONPASSERIFORMES
Dryobates pubescens,Picoides pubescens,Holmes1979,0,54.054,0.945,,134.001,,0,187.11,,0.945,0.945,,189,189,North_America,New Hampshire,Ulicny,NONPASSERIFORMES
Sitta carolinensis,Sitta carolinensis,Holmes1979,7.98,188.955,0,,88.065,,7.98,277.02,,0,0,,285,285,North_America,New Hampshire,Ulicny,PASSERIFORMES
Vireo solitarius,Vireo solitarius,Holmes1979,2.964,34.998,75.924,,0,,2.964,74.898,,0,36.024,,114,114,North_America,New Hampshire,Ulicny,PASSERIFORMES
Setophaga fusca,Dendroica fusca,Holmes1979,50.16,378.48,142.5,,0,,50.16,82.08,,0,438.9,,570,570,North_America,New Hampshire,Ulicny,PASSERIFORMES
Poecile atricapillus,Parus atricapillus,Holmes1979,13.079,391.919,45.1,,0.902,,13.079,262.482,,3.157,172.282,,451,451,North_America,New Hampshire,Ulicny,PASSERIFORMES
Setophaga virens,Dendroica virens,Holmes1979,66.918,309.349,210.146,,1.174,,66.918,81.006,,5.87,433.793,,587,587,North_America,New Hampshire,Ulicny,PASSERIFORMES
Vireo olivaceus,Vireo olivaceus,Holmes1979,120.33,617.121,979.83,,0,,120.33,163.305,,0,1433.646,,1719,1719,North_America,New Hampshire,Ulicny,PASSERIFORMES
Vireo philadelphicus,Vireo philadelphicus,Holmes1979,37.052,157.628,432.692,,0,,37.052,65.94,,1.884,522.496,,628,628,North_America,New Hampshire,Ulicny,PASSERIFORMES
Pheucticus ludovicianus,Pheucticus ludovicianus,Holmes1979,24.948,210.924,142.128,,0,,24.948,61.992,,4.158,286.902,,378,378,North_America,New Hampshire,Ulicny,PASSERIFORMES
Piranga olivacea,Piranga olivacea,Holmes1979,50.094,53.82,102.879,,0,,50.094,41.814,,1.035,113.85,,207,207,North_America,New Hampshire,Ulicny,PASSERIFORMES
Empidonax minimus,Empidonax minimus,Holmes1979,132.153,18.27,459.186,,0,,132.153,13.398,,0,464.058,,609,609,North_America,New Hampshire,Ulicny,PASSERIFORMES
Setophaga ruticilla,Setophaga ruticilla,Holmes1979,359.562,220.14,642.075,,0,,359.562,55.035,,3.669,803.511,,1223,1223,North_America,New Hampshire,Ulicny,PASSERIFORMES
Setophaga caerulescens,Dendroica caerulescens,Holmes1979,21.037,69.094,99.009,,4.053,,21.037,20.072,,0,152.084,,193,193,North_America,New Hampshire,Ulicny,PASSERIFORMES
Climacteris picumnus,Climacteris picumnus,Antos2006,0,495.88,0,0,148.12,0,0,315.56,0,315.56,0,12.88,644,644,Australia,Victoria,Ulicny,PASSERIFORMES
Acanthiza uropygialis,Acanthiza uropygialis,Antos2006,0,114.84,0,0,1.16,0,0,31.32,0,42.92,17.4,23.2,116,114.84,Australia,Victoria,Ulicny,PASSERIFORMES
Stagonopleura guttata,Stagonopleura guttata,Antos2006,0,185,0,0,0,0,0,1.85,0,168.35,0,14.8,185,185,Australia,Victoria,Ulicny,PASSERIFORMES
Melanodryas cucullata,Melanodryas cucullata,Antos2006,0,6.27,0,198.55,0,4.18,0,8.36,0,196.46,0,4.18,209,209,Australia,Victoria,Ulicny,PASSERIFORMES
Microeca fascinans,Microeca fascinans,Antos2006,31.08,8.88,0,146.52,2.22,33.3,26.64,19.98,0,157.62,4.44,13.32,222,222,Australia,Victoria,Ulicny,PASSERIFORMES
Petroica goodenovii,Petroica goodenovii,Antos2006,14.37,57.48,0,378.41,0,28.74,14.37,38.32,0,402.36,0,23.95,479,479,Australia,Victoria,Ulicny,PASSERIFORMES
Petroica multicolor,Petroica multicolor,Antos2006,2.61,1.74,0,75.69,0,6.96,2.61,7.83,0,73.95,0,2.61,87,87,Australia,Victoria,Ulicny,PASSERIFORMES
Aphelocephala leucopsis,Aphelocephala leucopsis,Antos2006,0,125,0,0,0,0,0,12.5,0,81.25,3.75,27.5,125,125,Australia,Victoria,Ulicny,PASSERIFORMES
Malurus cyaneus,Malurus cyaneus,Antos2006,0,295.02,0,2.98,0,0,0,35.76,0,211.58,32.78,17.88,298,298,Australia,Victoria,Ulicny,PASSERIFORMES
Pomatostomus superciliosus,Pomatostomus superciliosus,Antos2006,0,85.32,0,0,72.68,0,0,37.92,0,110.6,0,9.48,158,158,Australia,Victoria,Ulicny,PASSERIFORMES
Rhipidura leucophrys,Rhipidura leucophrys,Antos2006,32.48,131.95,0,30.45,0,8.12,32.48,18.27,0,146.16,0,6.09,203,203,Australia,Victoria,Ulicny,PASSERIFORMES
Corcorax melanorhamphos,Corcorax melanorhamphos,Antos2006,0,14.97,0,0,484.03,0,0,0,0,499,0,0,499,499,Australia,Victoria,Ulicny,PASSERIFORMES
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Antos2006,0,208,0,0,0,0,0,10.4,0,185.12,0,12.48,208,208,Australia,Victoria,Ulicny,PASSERIFORMES
Gerygone chloronota,Gerygone chloronota,Mohd-Azlan2014,0,9.96,0,0,0,2.04,0,3,0,0,9,,12,12,Australia,North Australia,Ulicny,PASSERIFORMES
Gerygone magnirostris,Gerygone magnirostris,Mohd-Azlan2014,1.54,129.36,3.08,0,0,20.02,0,27.72,0,1.54,124.74,,154,154,Australia,North Australia,Ulicny,PASSERIFORMES
Gerygone magnirostris,Gerygone magnirostris,Mohd-Azlan2014,1.03,94.76,0,0,0,7.21,1.03,10.3,0,0,91.67,,103,103,Australia,North Australia,Ulicny,PASSERIFORMES
Conopophila albogularis,Conopophila albogularis,Mohd-Azlan2014,0.94,60.16,0,0.94,28.2,2.82,0.94,16.92,0,0,76.14,,93.06,94,Australia,North Australia,Ulicny,PASSERIFORMES
Stomiopera unicolor,Lichenostomus unicolor,Mohd-Azlan2014,0,26.46,1.08,0,23.76,3.24,2.16,28.08,0,0,23.76,,54.54,54,Australia,North Australia,Ulicny,PASSERIFORMES
Zosterops luteus,Zosterops luteus,Mohd-Azlan2014,0,100.44,0,1.08,5.4,2.16,0,19.44,0,0,88.56,,109.08,108,Australia,North Australia,Ulicny,PASSERIFORMES
Lalage leucomela,Lalage leucomela,Mohd-Azlan2014,0,10.78,0,0,0,3.22,0,11.06,0,0,2.94,,14,14,Australia,North Australia,Ulicny,PASSERIFORMES
Rhipidura rufifrons,Rhipidura rufifrons,Mohd-Azlan2014,0,0,1,0,0,9,0,5,0,0,5,,10,10,Australia,North Australia,Ulicny,PASSERIFORMES
Myiagra ruficollis,Myiagra ruficollis,Mohd-Azlan2014,0,2.88,1.92,0,0,43.2,0,34.08,0,0.96,12.96,,48,48,Australia,North Australia,Ulicny,PASSERIFORMES
Pachycephala simplex,Pachycephala simplex,Mohd-Azlan2014,0,18.8,0,0.94,0,27.26,0,25.38,0,0,22.09,,47,47.47,Australia,North Australia,Ulicny,PASSERIFORMES
Microeca flavigaster,Microeca flavigaster,Mohd-Azlan2014,1.32,10.56,1.98,0,1.32,51.48,3.3,45.54,0,1.98,15.84,,66.66,66.66,Australia,North Australia,Ulicny,PASSERIFORMES
Chrysococcyx minutillus,Chrysococcyx minutillus,Mohd-Azlan2014,0,4.8,0,1.6,0,9.6,0,12.96,0,0,3.04,,16,16,Australia,North Australia,Ulicny,NONPASSERIFORMES
Pachycephala melanura,Pachycephala melanura,Mohd-Azlan2014,0,7.04,0,0,0,3.96,0,6.93,0,0,3.96,,11,10.89,Australia,North Australia,Ulicny,PASSERIFORMES
Eopsaltria pulverulenta,Eopsaltria pulverulenta,Mohd-Azlan2014,0,0.96,0,5.04,0,6,0,10.08,0,2.04,0,,12,12.12,Australia,North Australia,Ulicny,PASSERIFORMES
Rhipidura rufiventris,Rhipidura rufiventris,Mohd-Azlan2014,0,0.88,0,0,3.08,40.04,0.88,34.32,0,0,8.8,,44,44,Australia,North Australia,Ulicny,PASSERIFORMES
Myiagra alecto,Myiagra alecto,Mohd-Azlan2014,7.5,8.5,0,13.5,1,20,7,27,0,16,0,,50.5,50,Australia,North Australia,Ulicny,PASSERIFORMES
Merops ornatus,Merops ornatus,Mohd-Azlan2014,1.24,1.24,0,0,0,28.21,13.02,16.12,0,0.93,0.93,,30.69,31,Australia,North Australia,Ulicny,NONPASSERIFORMES
Lichmera indistincta,Lichmera indistincta,Mohd-Azlan2014,0,60.95,7.95,0,188.15,7.95,0,34.45,0,0,227.9,,265,262.35,Australia,North Australia,Ulicny,PASSERIFORMES
Philemon buceroides,Philemon buceroides,Mohd-Azlan2014,0,4,0,0,19,2,0,19,0,0,6,,25,25,Australia,North Australia,Ulicny,PASSERIFORMES
Myzomela erythrocephala,Myzomela erythrocephala,Mohd-Azlan2014,0,119.5,9.56,0,339.38,4.78,4.78,52.58,0,0,420.64,,473.22,478,Australia,North Australia,Ulicny,PASSERIFORMES
Melanerpes formicivorus,Melanerpes formicivorus,Landres1980,0,35.898,0,20.072,330.03,,15.826,351.26,0,4.246,14.668,0,386,386,North_America,Sonora,Ulicny,NONPASSERIFORMES
Sitta carolinensis,Sitta carolinensis,Landres1980,0,212.8,0,2.1,135.1,,0,341.95,0,8.05,0,0,350,350,North_America,Sonora,Ulicny,PASSERIFORMES
Thryomanes bewickii,Thryomanes bewickii,Landres1980,0,226.395,0,0,124.605,,0,281.502,0,54.756,14.742,0,351,351,North_America,Sonora,Ulicny,PASSERIFORMES
Icterus parisorum,Icterus parisorum,Landres1980,0,72.065,0,0,72.935,,0,111.94,0,0,33.06,0,145,145,North_America,Sonora,Ulicny,PASSERIFORMES
Baeolophus wollweberi,Baeolophus wollweberi,Landres1980,0,342.72,0,14.28,0,,0,112.098,0,13.923,230.979,0,357,357,North_America,Sonora,Ulicny,PASSERIFORMES
Psaltriparus minimus,Psaltriparus minimus,Landres1980,0,235,0,0,0,,0,58.985,0,0,176.015,0,235,235,North_America,Sonora,Ulicny,PASSERIFORMES
Leiothlypis luciae,Vermivora luciae,Landres1980,0,202.368,0,0,1.632,,0,6.12,0,0,197.88,0,204,204,North_America,Sonora,Ulicny,PASSERIFORMES
Myiarchus cinerascens,Myiarchus cinerascens,Landres1980,0,0,0,185,0,,59.94,0,0,125.06,0,0,185,185,North_America,Sonora,Ulicny,PASSERIFORMES
Sialia sialis,Sialia sialis,Landres1980,0,0.972,0,161.028,0,,1.944,0.972,0,159.084,0,0,162,162,North_America,Sonora,Ulicny,PASSERIFORMES
Empidonax oberholseri,Empidonax oberholseri,Landres1980,0,0,0,217,0,,103.292,5.642,0,77.035,31.031,0,217,217,North_America,Sonora,Ulicny,PASSERIFORMES
Pyrocephalus rubinus,Pyrocephalus rubinus,Landres1980,0,0,0,235,0,,163.09,0,0,71.91,0,0,235,235,North_America,Sonora,Ulicny,PASSERIFORMES
Tyrannus vociferans,Tyrannus vociferans,Landres1980,0,0,0,178.974,4.026,,152.988,0,0,15.921,14.091,0,183,183,North_America,Sonora,Ulicny,PASSERIFORMES
Melanerpes formicivorus,Melanerpes formicivorus,Landres1983,0,38.817,0,1118.43,1353.01,0,1093.34,1391.872,0,1.252,12.52,0,2510.257,2498.984,North_America,Sonora,Ulicny,NONPASSERIFORMES
Melanerpes uropygialis,Melanerpes uropygialis,Landres1983,0,26.91,0,0,870.09,0,0,897.897,0,0,0.897,0,897,898.794,North_America,Sonora,Ulicny,NONPASSERIFORMES
Dryobates scalaris,Picoides scalaris,Landres1983,0,37.8,0,0,214.2,0,0,252,0,0,0,0,252,252,North_America,Sonora,Ulicny,NONPASSERIFORMES
Dryobates arizonae,Picoides arizonae,Landres1983,0,61.95,0,0,233.05,0,0,262.55,0,0,32.45,0,295,295,North_America,Sonora,Ulicny,NONPASSERIFORMES
Dryobates nuttallii,Picoides nuttallii,Landres1983,0,233.1,0,0.666,432.9,0,0.666,652.68,0,0,13.32,0,666.666,666.666,North_America,Sonora,Ulicny,NONPASSERIFORMES
Sitta carolinensis,Sitta carolinensis,Landres1983,0,1415.45,0,43.436,1291.46,0,42.09,2706.91,0,1.346,0,0,2749,2750.346,North_America,Sonora,Ulicny,PASSERIFORMES
Icterus parisorum,Icterus parisorum,Landres1983,0,427.8,0,0,285.2,0,0,471.293,0,0,235.29,0,713,706.583,North_America,Sonora,Ulicny,PASSERIFORMES
Icterus bullockii,Icterus bullockii,Landres1983,0,966.12,0,0.996,19.92,0,0,429.276,0,99.6,458.16,0,987.036,987.036,North_America,Sonora,Ulicny,PASSERIFORMES
Thryomanes bewickii,Thryomanes bewickii,Landres1983,0,776.62,0,0,562.38,0,0,1017.64,0,227.63,93.73,0,1339,1339,North_America,Sonora,Ulicny,PASSERIFORMES
Baeolophus wollweberi,Baeolophus wollweberi,Landres1983,0,1315.32,0,13.56,27.12,0,0,381.036,0,13.56,962.76,0,1356,1357.356,North_America,Sonora,Ulicny,PASSERIFORMES
Baeolophus inornatus,Baeolophus inornatus,Landres1983,0,1187.72,0,38.73,64.55,0,1.291,580.95,0,64.55,645.5,0,1291,1292.291,North_America,Sonora,Ulicny,PASSERIFORMES
Psaltriparus minimus,Psaltriparus minimus,Landres1983,0,1075.95,0,5.4,6.225,0,0.27,224.4,0,0,870.6,0,1086.75,1095.27,North_America,Sonora,Ulicny,PASSERIFORMES
Polioptila caerulea,Polioptila caerulea,Landres1983,0,1015.15,0,269.85,0,0,179.9,104.085,0,1.285,989.45,0,1285,1274.72,North_America,Sonora,Ulicny,PASSERIFORMES
Vireo gilvus,Vireo gilvus,Landres1983,0,748.66,0,144.32,0.902,0,45.1,126.28,0,0,730.62,0,893.882,902,North_America,Sonora,Ulicny,PASSERIFORMES
Leiothlypis luciae,Vermivora luciae,Landres1983,0,1119.38,0,23.08,1.154,0,23.08,80.78,0,0,1050.14,0,1142.46,1154,North_America,Sonora,Ulicny,PASSERIFORMES
Tyrannus vociferans,Tyrannus vociferans,Landres1983,0,0,0,1168,1.168,0,1016.16,0,0,128.48,23.36,0,1168,1168,North_America,Sonora,Ulicny,PASSERIFORMES
Myiarchus cinerascens,Myiarchus cinerascens,Landres1983,0,11.4,0,1724.6,0,0,950.16,59.332,0,593.84,129.04,0,1736,1732.372,North_America,Sonora,Ulicny,PASSERIFORMES
Empidonax oberholseri,Empidonax oberholseri,Landres1983,0,0,0,1199,0,0,647.46,14.388,0,455.62,83.93,0,1199,1201.398,North_America,Sonora,Ulicny,PASSERIFORMES
Pyrocephalus rubinus,Pyrocephalus rubinus,Landres1983,0,0,0,1175,0,0,681.5,1.175,0,493.5,1.175,0,1175,1177.35,North_America,Sonora,Ulicny,PASSERIFORMES
Sialia sialis,Sialia sialis,Landres1983,0,10.15,0,1004.85,0,0,50.75,3.045,0,943.95,20.3,0,1015,1018.045,North_America,Sonora,Ulicny,PASSERIFORMES
Sialia mexicana,Sialia mexicana,Landres1983,0,0,0,1348,0,0,188.72,0,0,1105.36,53.92,0,1348,1348,North_America,Sonora,Ulicny,PASSERIFORMES
Myzomela erythrocephala,Myzomela erythrocephala,Noske1996,3.128,55.131,1.173,,331.959,0,3.128,0,331.959,0,55.913,0,391.391,391,Australia,Northern Territory,Ulicny,PASSERIFORMES
Lichmera indistincta,Lichmera indistincta,Noske1996,0,8.97,2.964,,65.988,0,0,0,65.988,0,12.012,0,77.922,78,Australia,Northern Territory,Ulicny,PASSERIFORMES
Zosterops luteus,Zosterops luteus,Noske1996,0,102.049,0,,28.951,0,0,3.024,29.052,0,76.032,0,131,108.108,Australia,Northern Territory,Ulicny,PASSERIFORMES
Gerygone magnirostris,Gerygone magnirostris,Noske1996,0,46.002,5.986,,0,30.012,0,2.001,0,0,66.999,0,82,69,Australia,Northern Territory,Ulicny,PASSERIFORMES
Gerygone levigaster,Gerygone levigaster,Noske1996,0,38.016,2.016,,0,8.016,0,0.98,0,0,48.02,0,48.048,49,Australia,Northern Territory,Ulicny,PASSERIFORMES
Gerygone chloronota,Gerygone chloronota,Noske1996,0,23.004,2.988,,0,10.008,0,0,0,0,33,0,36,33,Australia,Northern Territory,Ulicny,PASSERIFORMES
Pachycephala simplex,Pachycephala simplex,Noske1996,0,8.993,2.001,,0,12.006,0,4.998,0,0,16.002,0,23,21,Australia,Northern Territory,Ulicny,PASSERIFORMES
Myiagra alecto,Myiagra alecto,Noske1996,1.001,7.995,0,,0,4.004,0.99,0.99,0,15.994,4.004,0,13,21.978,Australia,Northern Territory,Ulicny,PASSERIFORMES
Eopsaltria pulverulenta,Eopsaltria pulverulenta,Noske1996,0,11.998,0,,2.002,0,0,3,0,17,0,0,14,20,Australia,Northern Territory,Ulicny,PASSERIFORMES
Rhipidura rufiventris,Rhipidura rufiventris,Noske1996,14.008,0,1.003,,0,2.006,13.005,0,0,0,3.995,0,17.017,17,Australia,Northern Territory,Ulicny,PASSERIFORMES
Rhipidura phasiana,Rhipidura phasiana,Noske1996,13.005,0,0,,0,1.995,13.005,0,0,0,1.995,0,15,15,Australia,Northern Territory,Ulicny,PASSERIFORMES
Myiagra ruficollis,Myiagra ruficollis,Noske1996,4,2,2,,0,17,4.992,1.008,0,1.992,16.008,0,25,24,Australia,Northern Territory,Ulicny,PASSERIFORMES
Myiagra rubecula,Myiagra rubecula,Noske1996,2.002,0,6.006,,0,5.005,2.996,0,0,0,11.004,0,13.013,14,Australia,Northern Territory,Ulicny,PASSERIFORMES
Dicrurus leucophaeus,Dicrurus leucophaeus,Thivyanathan2016,25.08,7.92,0,0,0,0,25.08,0,7.92,0,0,0,33,33,Asia,India,Ulicny,PASSERIFORMES
Terpsiphone paradisi,Terpsiphone paradisi,Thivyanathan2016,82,0,0,0,0,0,72.16,0,0,0,9.84,0,82,82,Asia,India,Ulicny,PASSERIFORMES
Hypsipetes leucocephalus,Hypsipetes leucocephalus,Thivyanathan2016,0,74,0,0,0,0,0,37,0,0,33.3,3.7,74,74,Asia,India,Ulicny,PASSERIFORMES
Dicrurus macrocercus,Dicrurus macrocercus,Thivyanathan2016,73,0,0,0,0,0,70.81,0,0,0,0.73,0,73,71.54,Asia,India,Ulicny,PASSERIFORMES
Oriolus xanthornus,Oriolus xanthornus,Thivyanathan2016,0,34.03,0,6.97,0,0,0,40.18,0,0,0,0.82,41,41,Asia,India,Ulicny,PASSERIFORMES
Psittacula roseata,Psittacula roseata,Thivyanathan2016,0,45,0,0,0,0,0,0,3.15,0,0,41.85,45,45,Asia,India,Ulicny,NONPASSERIFORMES
Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,Thivyanathan2016,0,73.26,0,0,0.74,0,0,31.82,0,17.76,6.66,17.02,74,73.26,Asia,India,Ulicny,NONPASSERIFORMES
Chloropsis cochinchinensis,Chloropsis cochinchinensis,Thivyanathan2016,0,115,0,0,0,0,0,19.55,23,0,64.4,9.2,115,116.15,Asia,India,Ulicny,PASSERIFORMES
Phylloscopus reguloides,Phylloscopus reguloides,Thivyanathan2016,0,128,0,0,0,0,0,56.32,0,0,71.68,0,128,128,Asia,India,Ulicny,PASSERIFORMES
