Sp_eBird,Sp_BirdLife,Study,Flycatching,Gleaning,Hovering,Pouncing,Probing,Snatching,Air,Bark,Flower,Ground,Leaf,Other,N_BEH,N_SUB,continent,location,zdroj_dat,Order
Microeca fascinans,Microeca fascinans,RD98,26,0,0,66,0,8,26,8,0,66,0,0,100,100,Australia,Western Australia,Remes,PASSERIFORMES
Myiagra inquieta,Myiagra inquieta,RD98,8.19,0,10.14,8.19,0,12.48,17.55,8.19,0,8.19,5.07,0,39,39,Australia,Western Australia,Remes,PASSERIFORMES
Pachycephala pectoralis,Pachycephala pectoralis,RD98,1.11,62.16,0,0,4.44,43.29,1.11,26.64,3.33,22.2,57.72,0,111,111,Australia,Western Australia,Remes,PASSERIFORMES
Pachycephala rufiventris,Pachycephala rufiventris,RD98,1.08,12.96,0,0,0,3.96,1.08,3.96,0,7.92,5.04,0,18,18,Australia,Western Australia,Remes,PASSERIFORMES
Pardalotus striatus,Pardalotus striatus,RD98,0,56,0,0,0,0,0,0,0,0,56,0,56,56,Australia,Western Australia,Remes,PASSERIFORMES
Petroica multicolor,Petroica multicolor,RD98,4.96,1.24,1.24,37.82,10.54,6.2,4.96,5.58,0,47.74,3.1,0,62,61.38,Australia,Western Australia,Remes,PASSERIFORMES
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,RD98,7.98,0,0,0,25.08,4.94,7.98,0,25.08,0,4.94,0,38,38,Australia,Western Australia,Remes,PASSERIFORMES
Pomatostomus superciliosus,Pomatostomus superciliosus,RD98,0,127.19,0,0,33.81,0,0,28.98,0,132.02,0,0,161,161,Australia,Western Australia,Remes,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,RD98,140.14,1.82,25.48,1.82,0,12.74,140.14,25.48,0,3.64,12.74,0,182,182,Australia,Western Australia,Remes,PASSERIFORMES
Rhipidura leucophrys,Rhipidura leucophrys,RD98,27.69,39.05,0,2.13,0,2.13,27.69,0,0,31.24,12.07,0,71,71,Australia,Western Australia,Remes,PASSERIFORMES
