Sp_BirdLife,birdtree_taxonomy,Passeriformes
Thryomanes_bewickii,Thryomanes_bewickii,PASSERIFORMES
Icterus_parisorum,Icterus_parisorum,PASSERIFORMES
Baeolophus_wollweberi,Baeolophus_wollweberi,PASSERIFORMES
Psaltriparus_minimus,Psaltriparus_minimus,PASSERIFORMES
Vermivora_luciae,Vermivora_luciae,PASSERIFORMES
Myiarchus_cinerascens,Myiarchus_cinerascens,PASSERIFORMES
Sialia_sialis,Sialia_sialis,PASSERIFORMES
Empidonax_oberholseri,Empidonax_oberholseri,PASSERIFORMES
Pyrocephalus_rubinus,Pyrocephalus_rubinus,PASSERIFORMES
Tyrannus_vociferans,Tyrannus_vociferans,PASSERIFORMES
Melanerpes_uropygialis,Melanerpes_uropygialis,NONPASSERIFORMES
Picoides_scalaris,Picoides_scalaris,NONPASSERIFORMES
Picoides_arizonae,Picoides_arizonae,NONPASSERIFORMES
Picoides_nuttallii,Picoides_nuttallii,NONPASSERIFORMES
Icterus_bullockii,Icterus_bullockii,PASSERIFORMES
Baeolophus_inornatus,Baeolophus_inornatus,PASSERIFORMES
Polioptila_caerulea,Polioptila_caerulea,PASSERIFORMES
Vireo_gilvus,Vireo_gilvus,PASSERIFORMES
Sialia_mexicana,Sialia_mexicana,PASSERIFORMES
Gerygone_levigaster,Gerygone_levigaster,PASSERIFORMES
Rhipidura_phasiana,Rhipidura_phasiana,PASSERIFORMES
Myiagra_rubecula,Myiagra_rubecula,PASSERIFORMES
Dicrurus_leucophaeus,Dicrurus_leucophaeus,PASSERIFORMES
Terpsiphone_paradisi,Terpsiphone_paradisi,PASSERIFORMES
Hypsipetes_leucocephalus,Hypsipetes_leucocephalus,PASSERIFORMES
Dicrurus_macrocercus,Dicrurus_macrocercus,PASSERIFORMES
Oriolus_xanthornus,Oriolus_xanthornus,PASSERIFORMES
Psittacula_roseata,Psittacula_roseata,NONPASSERIFORMES
Phaenicophaeus_viridirostris,Phaenicophaeus_viridirostris,NONPASSERIFORMES
Chloropsis_cochinchinensis,Chloropsis_cochinchinensis,PASSERIFORMES
Phylloscopus_reguloides,Phylloscopus_reguloides,PASSERIFORMES
Megalaima_zeylanica,Megalaima_zeylanica,NONPASSERIFORMES
Merops_leschenaulti,Merops_leschenaulti,NONPASSERIFORMES
Upupa_epops,Upupa_epops,NONPASSERIFORMES
Aegithina_tiphia,Aegithina_tiphia,PASSERIFORMES
Orthotomus_sutorius,Orthotomus_sutorius,PASSERIFORMES
Merops_orientalis,Merops_orientalis,NONPASSERIFORMES
Phylloscopus_trochiloides,Phylloscopus_trochiloides,PASSERIFORMES
Gallus_sonneratii,Gallus_sonneratii,NONPASSERIFORMES
Pavo_cristatus,Pavo_cristatus,NONPASSERIFORMES
Turdoides_striata,Turdoides_striata,PASSERIFORMES
Acridotheres_fuscus,Acridotheres_fuscus,PASSERIFORMES
Phylloscopus_magnirostris,Phylloscopus_magnirostris,PASSERIFORMES
Nectarinia_lotenia,Nectarinia_lotenia,PASSERIFORMES
Psittacula_columboides,Psittacula_columboides,NONPASSERIFORMES
Dicaeum_erythrorhynchos,Dicaeum_erythrorhynchos,PASSERIFORMES
Dicaeum_concolor,Dicaeum_concolor,PASSERIFORMES
Nectarinia_asiatica,Nectarinia_asiatica,PASSERIFORMES
Nectarinia_zeylonica,Nectarinia_zeylonica,PASSERIFORMES
Hirundo_daurica,Hirundo_daurica,PASSERIFORMES
Pycnonotus_cafer,Pycnonotus_cafer,PASSERIFORMES
Pycnonotus_jocosus,Pycnonotus_jocosus,PASSERIFORMES
Picus_xanthopygaeus,Picus_xanthopygaeus,NONPASSERIFORMES
Dumetia_hyperythra,Dumetia_hyperythra,PASSERIFORMES
Loriculus_vernalis,Loriculus_vernalis,NONPASSERIFORMES
Dicrurus_caerulescens,Dicrurus_caerulescens,PASSERIFORMES
Pycnonotus_luteolus,Pycnonotus_luteolus,PASSERIFORMES
Turdoides_affinis,Turdoides_affinis,PASSERIFORMES
Aegithalos_caudatus,Aegithalos_caudatus,PASSERIFORMES
Carduelis_citrinella,Carduelis_citrinella,PASSERIFORMES
Carduelis_spinus,Carduelis_spinus,PASSERIFORMES
Certhia_brachydactyla,Certhia_brachydactyla,PASSERIFORMES
Dendrocopos_major,Dendrocopos_major,NONPASSERIFORMES
Erithacus_rubecula,Erithacus_rubecula,PASSERIFORMES
Ficedula_hypoleuca,Ficedula_hypoleuca,PASSERIFORMES
Fringilla_coelebs,Fringilla_coelebs,PASSERIFORMES
Loxia_curvirostra,Loxia_curvirostra,PASSERIFORMES
Parus_ater,Parus_ater,PASSERIFORMES
Parus_caeruleus,Parus_caeruleus,PASSERIFORMES
Parus_cristatus,Parus_cristatus,PASSERIFORMES
Parus_major,Parus_major,PASSERIFORMES
Phylloscopus_bonelli,Phylloscopus_bonelli,PASSERIFORMES
Phylloscopus_collybita,Phylloscopus_collybita,PASSERIFORMES
Prunella_modularis,Prunella_modularis,PASSERIFORMES
Regulus_ignicapilla,Regulus_ignicapilla,PASSERIFORMES
Regulus_regulus,Regulus_regulus,PASSERIFORMES
Sitta_europaea,Sitta_europaea,PASSERIFORMES
Sylvia_atricapilla,Sylvia_atricapilla,PASSERIFORMES
Sylvia_borin,Sylvia_borin,PASSERIFORMES
Turdus_merula,Turdus_merula,PASSERIFORMES
Turdus_philomelos,Turdus_philomelos,PASSERIFORMES
Turdus_viscivorus,Turdus_viscivorus,PASSERIFORMES
Syrmaticus_mikado,Syrmaticus_mikado,NONPASSERIFORMES
Columba_pulchricollis,Columba_pulchricollis,NONPASSERIFORMES
Cuculus_saturatus,Cuculus_saturatus,NONPASSERIFORMES
Glaucidium_brodiei,Glaucidium_brodiei,NONPASSERIFORMES
Dendrocopos_leucotos,Dendrocopos_leucotos,NONPASSERIFORMES
Picus_canus,Picus_canus,NONPASSERIFORMES
Nucifraga_caryocatactes,Nucifraga_caryocatactes,PASSERIFORMES
Corvus_macrorhynchos,Corvus_macrorhynchos,PASSERIFORMES
Garrulus_glandarius,Garrulus_glandarius,PASSERIFORMES
Parus_monticolus,Parus_monticolus,PASSERIFORMES
Aegithalos_concinnus,Aegithalos_concinnus,PASSERIFORMES
Cettia_acanthizoides,Cettia_acanthizoides,PASSERIFORMES
Bradypterus_alishanensis,Bradypterus_alishanensis,PASSERIFORMES
Abroscopus_albogularis,Abroscopus_albogularis,PASSERIFORMES
Pnoepyga_albiventer,Pnoepyga_albiventer,PASSERIFORMES
Stachyris_ruficeps,Stachyris_ruficeps,PASSERIFORMES
Garrulax_morrisonianus,Garrulax_morrisonianus,PASSERIFORMES
Liocichla_steerii,Liocichla_steerii,PASSERIFORMES
Actinodura_morrisoniana,Actinodura_morrisoniana,PASSERIFORMES
Alcippe_manipurensis,Alcippe_manipurensis,PASSERIFORMES
Alcippe_morrisonia,Alcippe_morrisonia,PASSERIFORMES
Heterophasia_auricularis,Heterophasia_auricularis,PASSERIFORMES
Yuhina_brunneiceps,Yuhina_brunneiceps,PASSERIFORMES
Paradoxornis_verreauxi,Paradoxornis_verreauxi,PASSERIFORMES
Regulus_goodfellowi,Regulus_goodfellowi,PASSERIFORMES
Myophonus_insularis,Myophonus_insularis,PASSERIFORMES
Brachypteryx_montana,Brachypteryx_montana,PASSERIFORMES
Tarsiger_indicus,Tarsiger_indicus,PASSERIFORMES
Tarsiger_johnstoniae,Tarsiger_johnstoniae,PASSERIFORMES
Muscicapa_ferruginea,Muscicapa_ferruginea,PASSERIFORMES
Ficedula_hyperythra,Ficedula_hyperythra,PASSERIFORMES
Niltava_vivida,Niltava_vivida,PASSERIFORMES
Carpodacus_vinaceus,Carpodacus_vinaceus,PASSERIFORMES
Pyrrhula_nipalensis,Pyrrhula_nipalensis,PASSERIFORMES
Pyrrhula_erythaca,Pyrrhula_erythaca,PASSERIFORMES
Myophonus_caeruleus,Myophonus_caeruleus,PASSERIFORMES
Minla_cyanouroptera,Minla_cyanouroptera,PASSERIFORMES
Sitta_castanea,Sitta_castanea,PASSERIFORMES
Cissa_chinensis,Cissa_chinensis,PASSERIFORMES
Megalaima_virens,Megalaima_virens,NONPASSERIFORMES
Seicercus_burkii,Seicercus_burkii,PASSERIFORMES
Aethopyga_nipalensis,Aethopyga_nipalensis,PASSERIFORMES
Culicicapa_ceylonensis,Culicicapa_ceylonensis,PASSERIFORMES
Lanius_tephronotus,Lanius_tephronotus,PASSERIFORMES
Dendrocitta_formosae,Dendrocitta_formosae,PASSERIFORMES
Phylloscopus_xanthoschistos,Phylloscopus_xanthoschistos,PASSERIFORMES
Picus_chlorolophus,Picus_chlorolophus,NONPASSERIFORMES
Minla_ignotincta,Minla_ignotincta,PASSERIFORMES
Leiothrix_lutea,Leiothrix_lutea,PASSERIFORMES
Heterophasia_capistrata,Heterophasia_capistrata,PASSERIFORMES
Yuhina_occipitalis,Yuhina_occipitalis,PASSERIFORMES
Pericrocotus_brevirostris,Pericrocotus_brevirostris,PASSERIFORMES
Dicrurus_bracteatus,Dicrurus_bracteatus,PASSERIFORMES
Stigmatopelia_chinensis,Stigmatopelia_chinensis,NONPASSERIFORMES
Sitta_frontalis,Sitta_frontalis,PASSERIFORMES
Yuhina_flavicollis,Yuhina_flavicollis,PASSERIFORMES
Garrulax_leucolophus,Garrulax_leucolophus,PASSERIFORMES
Abroscopus_superciliaris,Abroscopus_superciliaris,PASSERIFORMES
Mniotilta_varia,Mniotilta_varia,PASSERIFORMES
Parus_carolinensis,Parus_carolinensis,PASSERIFORMES
Thryothorus_ludovicianus,Thryothorus_ludovicianus,PASSERIFORMES
Sayornis_phoebe,Sayornis_phoebe,PASSERIFORMES
Baeolophus_bicolor,Baeolophus_bicolor,PASSERIFORMES
Dendroica_coronata,Dendroica_coronata,PASSERIFORMES
Cardinalis_cardinalis,Cardinalis_cardinalis,PASSERIFORMES
Vermivora_celata,Vermivora_celata,PASSERIFORMES
Dendroica_pinus,Dendroica_pinus,PASSERIFORMES
Melanerpes_carolinus,Melanerpes_carolinus,NONPASSERIFORMES
Regulus_calendula,Regulus_calendula,PASSERIFORMES
Vireo_griseus,Vireo_griseus,PASSERIFORMES
Dendroica_dominica,Dendroica_dominica,PASSERIFORMES
Zosterops_japonicus,Zosterops_japonicus,PASSERIFORMES
Parus_spilonotus,Parus_spilonotus,PASSERIFORMES
Aethopyga_christinae,Aethopyga_christinae,PASSERIFORMES
Phylloscopus_inornatus,Phylloscopus_inornatus,PASSERIFORMES
Phylloscopus_proregulus,Phylloscopus_proregulus,PASSERIFORMES
Erpornis_zantholeuca,Erpornis_zantholeuca,PASSERIFORMES
Hypothymis_azurea,Hypothymis_azurea,PASSERIFORMES
Aegithina_viridissima,Aegithina_viridissima,PASSERIFORMES
Muscicapa_dauurica,Muscicapa_dauurica,PASSERIFORMES
Phylloscopus_borealis,Phylloscopus_borealis,PASSERIFORMES
Macronous_gularis,Macronous_gularis,PASSERIFORMES
Stachyris_erythroptera,Stachyris_erythroptera,PASSERIFORMES
Malacocincla_abbotti,Malacocincla_abbotti,PASSERIFORMES
Prinia_rufescens,Prinia_rufescens,PASSERIFORMES
Hemipus_picatus,Hemipus_picatus,PASSERIFORMES
Ficedula_nigrorufa,Ficedula_nigrorufa,PASSERIFORMES
Parus_xanthogenys,Parus_xanthogenys,PASSERIFORMES
Acrocephalus_dumetorum,Acrocephalus_dumetorum,PASSERIFORMES
Alcippe_poioicephala,Alcippe_poioicephala,PASSERIFORMES
Nectarinia_minima,Nectarinia_minima,PASSERIFORMES
Dinopium_javanense,Dinopium_javanense,NONPASSERIFORMES
Strophocincla_cachinnans,Strophocincla_cachinnans,PASSERIFORMES
Pomatorhinus_horsfieldii,Pomatorhinus_horsfieldii,PASSERIFORMES
Lanius_schach,Lanius_schach,PASSERIFORMES
Eumyias_albicaudatus,Eumyias_albicaudatus,PASSERIFORMES
Columba_elphinstonii,Columba_elphinstonii,NONPASSERIFORMES
Zosterops_palpebrosus,Zosterops_palpebrosus,PASSERIFORMES
Pericrocotus_flammeus,Pericrocotus_flammeus,PASSERIFORMES
Phylloscopus_affinis,Phylloscopus_affinis,PASSERIFORMES
Myiomela_major,Myiomela_major,PASSERIFORMES
